id,name,gender,ip_address,Valor
1,Corey Westpfel,Male,113.103.0.13,927.99
2,Aloysius Hurle,Bigender,206.43.60.209,305.92
3,Ines Bodiam,Female,69.172.221.168,175.4
4,Helga Antoniazzi,Female,210.43.66.170,305.8
5,Westley Rives,Male,3.166.143.45,40.58
6,Pollyanna Novill,Female,32.128.126.141,257.76
7,Orly Bevens,Female,10.227.201.211,13.9
8,Clarette Daft,Female,99.22.218.52,195.92
9,Augustin Sisnett,Male,54.157.198.141,572.06
10,George Hodinton,Male,116.241.150.202,490.84
11,Arlinda Sillito,Female,213.182.112.78,234.86
12,Rich Millson,Male,220.121.171.15,226.28
13,Ranique Lindro,Female,242.101.30.48,532.59
14,Marlow Richarson,Male,36.187.115.106,546.73
15,Tiffie Warlowe,Female,90.154.245.52,211.62
16,Mora Gradwell,Agender,139.219.128.122,827.78
17,Conn Karoly,Male,132.196.82.148,917.17
18,Leonore Burwin,Female,211.168.183.126,847.22
19,Carita Petronis,Female,237.84.31.189,571.16
20,Redd O'Hagan,Male,202.239.15.154,207.4
21,Jase Gilsthorpe,Male,211.17.61.26,357.37
22,Elfrieda Phillipson,Female,87.102.224.181,761.92
23,Chuck Swinglehurst,Male,33.154.6.194,107.25
24,Edlin Tyzack,Male,182.144.246.252,682.82
25,Kyle Keys,Female,188.188.80.187,664.9
26,Cesare Worrall,Male,98.121.145.123,414.48
27,Latrena Buesden,Female,134.81.142.116,197.0
28,Lek Lonsdale,Male,160.93.47.29,78.44
29,Kristoffer Sisland,Male,252.86.84.226,497.65
30,Gothart Marre,Genderfluid,46.38.240.209,863.85
31,Rodd Matthisson,Male,27.202.150.130,996.62
32,Pascal Durrance,Male,121.206.166.195,249.42
33,Rodney Mark,Male,35.166.184.174,388.33
34,Zenia MacWilliam,Female,130.75.190.135,997.95
35,Guthry Urwin,Male,7.252.211.120,887.49
36,Allin McKue,Bigender,234.197.162.158,959.73
37,Dot Fawloe,Genderqueer,177.31.161.14,560.87
